IND,POP,TEMP,SIDE,Wing,Spot,Ratio
L04,PARIS,16,D,1989920.5,101025.5,0.05076861110783069
L04,PARIS,16,G,1979511.0,83539.5,0.042202089303873536
L06,PARIS,16,D,1961115.5,86874.5,0.04429851275970232
L06,PARIS,16,G,1937056.5,82326.5,0.04250082535021565
L09,PARIS,16,D,1903915.5,72880.0,0.03827900975647291
L09,PARIS,16,G,1899900.0,90613.0,0.047693562819095744
L11,PARIS,16,D,2001120.0,100833.0,0.05038828256176541
L11,PARIS,16,G,2041141.0,95583.5,0.04682846505949369
L13,PARIS,16,D,1939532.0,88102.0,0.04542436010336514
L13,PARIS,16,G,1947718.0,91935.0,0.047201391577220114
L14,PARIS,16,D,2086213.5,109245.0,0.05236520614980202
L14,PARIS,16,G,2144506.5,98367.0,0.04586929440409716
L37,PARIS,16,D,2111882.5,95649.0,0.04529087200637346
L37,PARIS,16,G,2121377.5,76963.5,0.03627996431563925
L01,PARIS,22,D,1468419.0,78466.0,0.05343570193521059
L01,PARIS,22,G,1464593.0,72979.0,0.049828860304535115
L02,PARIS,22,D,1564959.5,72923.5,0.04659769150575462
L02,PARIS,22,G,1570824.5,68102.0,0.043354302151513424
L04,PARIS,22,D,1573043.0,78967.5,0.050200471315787296
L04,PARIS,22,G,1591288.0,77561.5,0.04874133406397836
L07,PARIS,22,D,1615103.0,77663.5,0.04808578771756352
L07,PARIS,22,G,1503552.0,76595.0,0.05094270101732431
L13,PARIS,22,G,1352735.0,64664.0,0.047802415107171765
L13,PARIS,22,D,1374662.5,62536.0,0.045491893464759535
L14,PARIS,22,D,1545278.5,73287.0,0.04742640242519391
L14,PARIS,22,G,1499367.5,64718.0,0.04316353395681846
L17,PARIS,22,D,1667367.5,96776.0,0.05804119367805838
L17,PARIS,22,G,1660594.0,85505.5,0.0514909122880126
L26,PARIS,22,D,1511040.0,86965.5,0.05755340692503177
L26,PARIS,22,G,1502370.5,71898.0,0.04785637098172521
L31,PARIS,22,G,1617455.0,74930.0,0.04632586377982695
L31,PARIS,22,D,1618810.0,79056.0,0.04883587326492918
L35,PARIS,22,D,1487228.0,64647.0,0.043468116522819636
