So27D_28,673,851,612,1224
So27G_28,2068,1174,2042,1549
So21D_28,647,857,584,1222
So21G_28,1843,941,1875,1317
So11D_28,636,865,592,1256
So08D_28,689,762,605,1142
So08G_28,2091,1032,2044,1416
So05D_28,878,1234,970,1596
So05G_28,1917,1048,1912,1419
So37D_28,599,908,542,1291
So37G_28,2032,929,2030,1320
So38G_22,1936,862,2030,1244
So24G_22,2268,934,2298,1340
So24D_22,656,904,589,1304
So13G_22,2160,1043,2128,1455
So13D_22,427,895,391,1274
So06G_22,2195,899,2239,1315
So08G_22,1990,1040,1922,1457
So43G_22,2084,821,2146,1272
So27D_16,357,877,281,1358
So24G_16,2330,882,2398,1350
So23G_16,2246,984,2286,1426
So13G_16,2357,1037,2420,1517
So06D_16,290,933,201,1395
So29D_16,304,935,208,1396
S20G_28,1976,987,1956,1365
S37G_28,2155,862,2167,1227
S14D_28,628,1013,608,1377
S06D_28,604,1124,599,1480
S42G_28,2081,717,2137,1101
S44D_28,631,905,572,1303
S35D_22,505,850,393,1252
S33G_22,2243,778,2321,1180
S14G_22,2293,970,2266,1363
S14D_22,699,1269,763,1650
S20D_22,501,883,448,1307
S08D_22,441,831,351,1220
S40D_22,480,934,433,1343
S44D_22,459,793,366,1207
S29D_16,303,1074,300,1519
S36G_16,2156,1006,2142,1472
S33G_16,2283,918,2338,1371
S28G_16,2264,950,2316,1385
S42G_16,2335,1296,2289,1766
S40G_16,2224,1067,2244,1527
L07G_28,2069,972,2098,1361
L17G_28,1894,1503,1721,1824
L21G_28,1769,1189,1621,1514
L13G_28,1601,1254,1489,1556
L26D_28,665,998,681,1375
L36D_28,657,1339,724,1715
L17G_22,2283,1077,2249,1481
L13G_22,2324,1031,2368,1414
L04D_22,477,993,461,1416
L31G_22,2208,1214,2115,1640
L07G_22,2261,841,2311,1239
L02G_22,2157,944,2146,1371
L06D_16,548,1273,708,1723
L04G_16,2223,1009,2287,1465
L37G_16,2334,918,2333,1409
L09D_16,518,1272,642,1710
So38D_22,622,800,588,1199
So26D_22,548,840,435,1232
So13G_22,2161,1041,2130,1454
So08D_22,610,932,536,1340
So06D_22,456,1033,409,1446
So43D_22,331,896,359,1353
So27G_16,2330,1006,2402,1482
So24D_16,305,1046,288,1528
So23D_16,359,913,322,1363
So13D_16,340,1224,429,1715
So06G_16,2311,753,2369,1220
So29G_16,2257,899,2330,1359
S37D_28,714,796,661,1161
S20D_28,874,1007,868,1381
S14G_28,2093,1072,2067,1442
S06G_28,2184,1018,2221,1380
S44G_28,2109,823,2138,1219
S42D_28,743,1044,674,1439
S35G_22,2233,1151,2196,1564
S33D_22,488,1031,477,1431
S28D_22,398,872,385,1296
S20G_22,2325,714,2367,1142
S08G_22,2202,921,2249,1320
S44G_22,2270,796,2303,1213
S40D_22,480,934,433,1343
S33D_16,400,1198,466,1656
S29G_16,2093,1214,2035,1656
S28D_16,383,1049,379,1488
S42D_16,234,911,200,1379
S40D_16,421,1219,504,1685
S36D_16,370,1085,380,1568
L21D_28,943,1054,996,1383
L17D_28,857,1195,986,1529
L13D_28,603,1203,709,1545
L07D_28,612,992,595,1386
L36G_28,1819,1385,1638,1716
L26G_28,1768,1213,1690,1580
L07D_22,441,714,304,1113
L04G_22,2207,863,2203,1285
L02D_22,488,870,406,1289
L31D_22,448,752,367,1170
L17D_22,668,1263,763,1665
L13D_22,686,816,653,1210
L13G_16,2302,1133,2285,1601
L13D_16,364,1282,497,1717
L09G_16,2260,1148,2243,1627
L06G_16,2269,954,2254,1427
L04D_16,369,1013,409,1457
L37D_16,282,1042,295,1512
L14D_16,269,974,218,1437
L11G_16,2148,1385,2017,1819
L11D_16,343,1203,405,1661
L14G_16,2299,1046,2328,1523
L09D_28,720,802,624,1192
L37D_22,458,700,385,1130
L36G_22,2137,1028,2145,1423
L36D_22,630,846,564,1239
L35G_22,2186,1037,2162,1427
L35D_22,616,625,497,956
L26G_22,1996,1138,1974,1540
L26D_22,506,719,396,1107
L14G_22,2173,1003,2209,1393
L14D_22,706,1103,721,1499
