L04D_16,375,1015,404,1456
L06D_16,550,1271,710,1724
L09D_16,520,1276,640,1709
L11D_16,345,1198,403,1663
L13D_16,366,1275,492,1717
L14D_16,271,971,223,1440
L37D_16,282,1044,304,1519
L04G_16,2222,1005,2293,1461
L06G_16,2272,952,2250,1429
L07G_16,2262,813,2285,1279
L09G_16,2260,1146,2247,1624
L11G_16,2151,1379,2007,1824
L13G_16,2304,1130,2285,1602
L14G_16,2302,1044,2322,1526
L37G_16,2334,920,2334,1408
L05D_28,717,985,658,1365
L05G_28,1775,995,1853,1357
L07D_28,614,989,594,1387
L07G_28,2071,973,2097,1360
L08D_28,711,887,591,1142
L08G_28,1832,729,1936,1063
L09D_28,721,803,617,1186
L09G_28,2108,253,2264,624
L11D_28,690,613,592,993
L11G_28,2183,742,2275,1126
L13D_28,601,1201,700,1544
L13G_28,1601,1253,1491,1556
L14D_28,602,901,560,1296
L14G_28,2153,869,2240,1247
L17D_28,858,1196,988,1530
L17G_28,1895,1503,1719,1818
L21D_28,943,1053,997,1384
L21G_28,1768,1187,1623,1514
L26D_28,666,1000,679,1375
L26G_28,1770,1211,1686,1581
L28D_28,812,859,855,1245
L28G_28,1865,1053,1761,1427
L31D_28,792,915,713,1297
L31G_28,1794,661,1900,1031
L35G_28,2065,998,2011,1359
L36D_28,658,1339,717,1713
L36G_28,1821,1383,1652,1719
L37D_28,655,1059,542,1404
L37G_28,1923,1296,1934,1649
L02G_22,2159,944,2146,1372
L02D_22,490,870,403,1287
L01G_22,2087,1148,2114,1525
L01D_22,487,823,410,1196
L04D_22,475,990,465,1417
L04G_22,2213,857,2197,1289
L05D_22,482,946,449,1377
L06D_22,515,892,383,1307
L06G_22,2171,1026,2221,1463
L07D_22,442,712,307,1114
L07G_22,2261,841,2310,1238
L08D_22,636,998,645,1409
L12D_22,469,807,423,1221
L13D_22,688,815,650,1209
L13G_22,2324,1029,2365,1417
L14G_22,2173,1002,2207,1396
L14D_22,706,1104,732,1501
L17D_22,671,1269,764,1666
L17G_22,2286,1075,2246,1485
L26G_22,1994,1139,1983,1533
L26D_22,507,720,393,1107
L31D_22,447,752,368,1169
