IND,POP,SIDE,Wing,Spot,Ratio
M01,Bar,D,1229562.5,59068.5,0.04804025822192853
M02,Bar,D,1727140.5,94342.5,0.05462352367974696
M03,Bar,D,1496355.0,71497.5,0.04778110809266518
M03,Bar,G,1501595.0,62824.0,0.04183817873661007
M04,Bar,G,1364695.0,74010.5,0.05423226435210798
M05,Bar,G,1355901.5,62835.5,0.046342230611884416
M06,Bar,D,1298279.5,73590.5,0.05668309481895077
M07,Bar,D,1396413.0,71809.0,0.05142389823068104
M07,Bar,G,1419772.5,77449.5,0.05455064103579975
M08,Bar,G,1299419.0,62330.0,0.04796759166981551
M09,Bar,D,1390382.5,72935.0,0.05245678797021683
M09,Bar,G,1405068.0,64881.0,0.04617641281418408
M10,Bar,D,1751049.0,81282.0,0.04641903224866922
M10,Bar,G,1745322.0,76850.0,0.044031989512536944
M11,Bar,D,1241424.0,50475.5,0.04065935570763897
M11,Bar,G,1221632.5,57164.5,0.046793532424849536
M12,Bar,G,1283054.0,68333.0,0.0532580857859451
M13,Bar,D,1408317.5,93530.5,0.06641293600342252
M13,Bar,G,1417774.5,76960.0,0.054282257157255966
M14,Bar,D,1249324.0,72212.5,0.05780125892082438
M15,Bar,D,1460133.0,84192.0,0.05766050078999653
M15,Bar,G,1449084.5,77078.0,0.053190824965693856
M16,Bar,D,1469650.5,74591.5,0.05075458416814066
M16,Bar,G,1479165.0,72188.5,0.04880354794765966
M17,Bar,D,1439057.0,74082.5,0.05147989273531208
M17,Bar,G,1451139.0,73926.5,0.050943775889146385
M18,Bar,D,1537488.5,66173.5,0.0430399967219267
M18,Bar,G,1557400.5,59407.0,0.038144972985433095
M19,Bar,G,1463529.0,70112.5,0.0479064644431371
M20,Bar,D,1303429.0,74559.0,0.05720219513299152
M21,Bar,D,1581053.5,82245.0,0.05201911257272445
M21,Bar,G,1562271.5,66561.0,0.04260527059477178
M22,Bar,D,1202225.0,67166.5,0.05586849383434881
M22,Bar,G,1199034.0,65298.5,0.05445925636804294
M23,Bar,D,1720233.5,88071.0,0.051197119460817384
M23,Bar,G,1746866.0,89196.5,0.05106087129751223
M24,Bar,D,1148534.0,51996.5,0.04527205986065715
M24,Bar,G,1152311.5,46204.5,0.0400972306533433
M25,Bar,D,935915.5,56822.0,0.06071274596905383
M25,Bar,G,922550.5,51709.5,0.056050590184493966
M26,Bar,D,1649915.5,87951.0,0.05330636629572848
M26,Bar,G,1640205.5,89185.0,0.0543742841979252
M27,Bar,G,1169772.0,58889.5,0.050342716358401464
M28,Bar,G,1773412.5,80889.5,0.04561234343391625
M29,Bar,D,1230198.0,59010.0,0.04796788809606258
