IND,POP,TEMP,SIDE,Wing,Spot,Ratio
L04,PARIS,16,D,1995044.0,101003.5,0.05068860636657638
L04,PARIS,16,G,1977243.5,83436.5,0.042198393875109465
L06,PARIS,16,D,1959810.0,86874.5,0.044328021593930025
L06,PARIS,16,G,1932712.0,82319.5,0.042592740149592904
L07,PARIS,16,G,2026222.0,78718.5,0.03884988910395801
L09,PARIS,16,D,1892918.0,75860.0,0.040075692660749174
L09,PARIS,16,G,1890831.5,73566.0,0.03890669263760414
L11,PARIS,16,D,1984003.0,100630.5,0.05072094145018934
L11,PARIS,16,G,2029388.5,87502.5,0.043117668203993466
L13,PARIS,16,D,1940012.5,82774.5,0.042666993125044295
L13,PARIS,16,G,1944415.5,98196.5,0.050501808898355316
L14,PARIS,16,D,2097559.0,109308.5,0.05211224094292461
L14,PARIS,16,G,2143770.0,98367.0,0.04588505296743587
L37,PARIS,16,D,2109665.0,95649.0,0.04533847790999993
L37,PARIS,16,G,2118568.5,86245.5,0.04070932802031183
L05,PARIS,28,D,1167798.5,56433.5,0.048324689576155475
L05,PARIS,28,G,1186346.0,0,0.0
L07,PARIS,28,G,1173642.0,45596.5,0.03885043309629342
L07,PARIS,28,D,1190908.0,42769.0,0.03591293366070259
L08,PARIS,28,D,1099197.5,41989.0,0.03819968658953464
L08,PARIS,28,G,1120814.0,42961.5,0.03833062399291943
L09,PARIS,28,D,1213593.5,62211.0,0.05126181048266985
L11,PARIS,28,D,1221219.0,68289.5,0.05591912670864112
L11,PARIS,28,G,1238042.0,62430.0,0.050426399104392255
L13,PARIS,28,G,1081834.0,37855.0,0.03499150516622698
L14,PARIS,28,D,1266172.0,53906.5,0.042574389577403386
L14,PARIS,28,G,1268604.5,62975.0,0.04964116081883676
L17,PARIS,28,D,1186239.5,64174.5,0.05409910899105956
L17,PARIS,28,G,1171538.0,50687.0,0.04326534862718922
L21,PARIS,28,D,1141051.0,93280.0,0.08174919438307315
L21,PARIS,28,G,1130446.0,67560.0,0.05976402234162446
L26,PARIS,28,D,1182338.5,62609.5,0.05295395523363233
L26,PARIS,28,G,1182021.0,50852.0,0.043021232279291145
L28,PARIS,28,G,1191019.5,38045.0,0.03194322175245661
L31,PARIS,28,D,1197419.0,46630.0,0.03894209128133093
L31,PARIS,28,G,1181505.5,41399.0,0.03503919363896317
L35,PARIS,28,G,1086102.0,64018.0,0.05894289854912338
L36,PARIS,28,G,1204102.0,59708.0,0.049587161220561046
L37,PARIS,28,D,1141863.0,51085.5,0.0447387296024129
L37,PARIS,28,G,1123373.5,36986.5,0.032924490385432804
L09,PARIS,28,G,1212528.5,53999.0,0.04453421094844369
L13,PARIS,28,D,1101648.0,45595.5,0.041388447126486864
L28,PARIS,28,D,1206374.0,47189.5,0.039116807888764184
L01,PARIS,22,D,1461529.0,78328.5,0.05359353115812276
L01,PARIS,22,G,1464206.0,72979.0,0.04984203042468068
L02,PARIS,22,D,1553153.5,72781.5,0.04686046807350336
L02,PARIS,22,G,1571263.5,68102.0,0.043342189263608555
L04,PARIS,22,D,1572627.0,78967.5,0.05021375062236627
L04,PARIS,22,G,1591466.5,77561.5,0.04873586720172872
L05,PARIS,22,D,1647751.5,90816.0,0.055115106859256385
L06,PARIS,22,G,1654099.5,77690.0,0.046968153971390474
L07,PARIS,22,D,1614317.5,77663.5,0.04810918546072876
L07,PARIS,22,G,1503367.5,76595.0,0.05094895293399651
L12,PARIS,22,D,1607882.0,102833.5,0.0639558748714147
L13,PARIS,22,D,1357941.5,62304.5,0.04588157884562774
L13,PARIS,22,G,1352137.5,59080.5,0.04369415092769781
L14,PARIS,22,D,1543090.0,73287.0,0.04749366530792112
L14,PARIS,22,G,1490995.0,64553.5,0.04329558449223505
L17,PARIS,22,D,1655941.0,96645.0,0.05836258658973961
L17,PARIS,22,G,1660616.5,83295.0,0.05015908248533
L26,PARIS,22,D,1503153.5,86719.0,0.05769138015512055
L26,PARIS,22,G,1497520.5,71802.0,0.04794725681551605
L31,PARIS,22,D,1618842.5,79056.0,0.04883489283237869
L31,PARIS,22,G,1618947.0,74930.0,0.046283170480565454
L35,PARIS,22,D,1486921.5,61848.0,0.0415946638743202
L35,PARIS,22,G,1506491.0,59365.5,0.039406475046980034
L36,PARIS,22,D,1381105.5,74108.0,0.05365846417960105
L36,PARIS,22,G,1377623.0,71320.5,0.05177069488532059
L37,PARIS,22,D,1685198.5,84974.5,0.05042403016617924
L37,PARIS,22,G,1679935.5,66757.5,0.03973813280331298
S05,SAPPORO,16,D,2178153.0,108755.0,0.049929917687141355
S05,SAPPORO,16,G,2134511.0,101227.0,0.047423976732844195
S07,SAPPORO,16,D,1956428.0,90605.5,0.046311696622620406
S07,SAPPORO,16,G,1940358.0,85312.0,0.043967144207409145
S20,SAPPORO,16,D,1890158.0,83874.0,0.04437406819958967
S20,SAPPORO,16,G,1896371.5,77247.0,0.040734107214751965
