thresholds
ID,wing,spot
M01D_Bar,60,148
M02D_Bar,80,143
M03D_Bar,70,155
M03G_Bar,70,155
M04G_Bar,65,145
M05G_Bar,55,145
M06D_Bar,62,150
M07D_Bar,62,150
M07G_Bar,70,155
M08G_Bar,60,155
M09D_Bar,60,145
M09G_Bar,70,150
M10D_Bar,80,140
M10G_Bar,80,145
M11D_Bar,60,155
M11G_Bar,60,165
M12G_Bar,60,165
M13D_Bar,70,155
M13G_Bar,70,155
M14D_Bar,50,150
M15D_Bar,75,140
M15G_Bar,70,155
M16D_Bar,70,140
M16G_Bar,70,147
M17D_Bar,70,135
M17G_Bar,70,145
M18D_Bar,70,145
M18G_Bar,70,152
M19G_Bar,72,145
M20D_Bar,60,145
M21D_Bar,70,140
M21G_Bar,75,142
M22D_Bar,60,162
M22G_Bar,60,165
M23D_Bar,75,145
M23G_Bar,80,160
M24D_Bar,50,160
M24G_Bar,50,165
M25D_Bar,47,165
M25G_Bar,45,165
M26D_Bar,80,130
M26G_Bar,80,145
M27G_Bar,65,165
M28G_Bar,80,145
M29D_Bar,60,145
M29G_Bar,60,160
M30D_Bar,55,155
M30G_Bar,55,155
M31G_Bar,55,155
