thresholds
ID,wing,spot
M01D_Gen,90,130
M01G_Gen,90,140
M02D_Gen,70,140
M02G_Gen,70,155
M03D_Gen,70,170
M03G_Gen,70,175
M04D_Gen,50,165
M04G_Gen,60,165
M05D_Gen,85,170
M05G_Gen,85,175
M06D_Gen,50,165
M06G_Gen,50,160
M07D_Gen,70,150
M07G_Gen,70,150
M08D_Gen,70,150
M08G_Gen,70,160
M09D_Gen,70,150
M09G_Gen,80,150
M10D_Gen,60,135
M10G_Gen,60,140
M11D_Gen,80,135
M11G_Gen,80,145
M12D_Gen,80,145
M12G_Gen,80,150
M13D_Gen,70,160
M13G_Gen,60,170
M15D_Gen,70,140
M15G_Gen,70,145
M16D_Gen,70,150
M16G_Gen,70,155
