thresholds
ID,wing,spot
M01D_Lan,63,150
M01G_Lan,50,140
M02D_Lan,55,140
M02G_Lan,55,155
M03D_Lan,40,155
M03G_Lan,40,155
M04D_Lan,60,150
M04G_Lan,60,160
M05D_Lan,40,160
M05G_Lan,40,160
M06D_Lan,60,150
M06G_Lan,60,155
M07D_Lan,60,150
M07G_Lan,60,160
M08D_Lan,50,170
M08G_Lan,47,170
M09D_Lan,80,150
M09G_Lan,80,150
M10D_Lan,70,145
M10G_Lan,70,147
M11D_Lan,60,145
M11G_Lan,60,155
M12D_Lan,60,155
M12G_Lan,55,155
M13D_Lan,45,155
M13G_Lan,45,150
M14D_Lan,45,155
M14G_Lan,50,160
M15D_Lan,50,154
M15G_Lan,50,155
