thresholds
ID,wing,spot
M01D_Lia,70,130
M02D_Lia,60,160
M03D_Lia,85,135
M03G_Lia,85,150
M04D_Lia,85,160
M04G_Lia,85,160
M05D_Lia,85,145
M11G_Lia,70,170
M12D_Lia,82,135
M12G_Lia,80,140
M13D_Lia,80,150
M13G_Lia,85,160
M17D_Lia,70,150
M17G_Lia,70,155
M18D_Lia,70,140
M18G_Lia,70,148
M20D_Lia,80,135
M21D_Lia,80,160
M21G_Lia,70,170
M23G_Lia,70,150
M24D_Lia,80,155
M24G_Lia,80,160
M25D_Lia,85,140
M25G_Lia,85,145
M26D_Lia,75,138
M26G_Lia,75,145
M29D_Lia,75,160
M29G_Lia,65,155
M30D_Lia,80,140
M30G_Lia,80,150
