thresholds
ID,wing,spot
M01D_Sap,85,130
M02D_Sap,85,140
M02G_Sap,85,155
M03D_Sap,65,130
M03G_Sap,75,140
M04G_Sap,75,163
M05D_Sap,90,127
M05G_Sap,90,140
M06G_Sap,70,140
M08D_Sap,95,140
M08G_Sap,95,150
M09D_Sap,95,120
M10D_Sap,80,140
M11D_Sap,80,128
M11G_Sap,80,140
M12D_Sap,100,130
M12G_Sap,100,135
M13D_Sap,80,120
M14D_Sap,80,140
M14G_Sap,80,145
M16D_Sap,80,130
M16G_Sap,80,140
M18D_Sap,90,120
M18G_Sap,90,138
M20D_Sap,65,135
M22D_Sap,80,135
M22G_Sap,80,155
M23G_Sap,80,150
M24D_Sap,80,140
M24G_Sap,80,145
M25D_Sap,85,130
M25G_Sap,85,130
M27D_Sap,85,125
M28D_Sap,85,125
M28G_Sap,85,137
M29D_Sap,85,129
M29G_Sap,85,135
M30D_Sap,90,130
M30G_Sap,90,140
M31D_Sap,90,140
M31G_Sap,90,150
