thresholds
ID,wing,spot
M01D_Sok,90,125
M01G_Sok,90,133
M02G_Sok,80,140
M03D_Sok,80,138
M03G_Sok,80,140
M04D_Sok,70,130
M04G_Sok,70,144
M05D_Sok,90,120
M05G_Sok,90,142
M06D_Sok,70,126
M07D_Sok,67,140
M08D_Sok,60,140
M08G_Sok,60,145
M09D_Sok,105,145
M09G_Sok,105,145
M10D_Sok,60,130
M10G_Sok,60,138
M11D_Sok,90,128
M11G_Sok,90,145
M12D_Sok,90,130
M12G_Sok,90,140
M13G_Sok,90,150
M14D_Sok,70,140
M14G_Sok,70,150
M15D_Sok,80,150
M15G_Sok,85,150
M16D_Sok,72,135
M16G_Sok,72,140
M17D_Sok,60,130
M17G_Sok,60,135
M18D_Sok,60,127
M19D_Sok,85,142
M19G_Sok,85,150
M21D_Sok,60,145
M21G_Sok,55,150
M23D_Sok,75,135
M25D_Sok,90,125
M25G_Sok,100,140
M26D_Sok,100,130
M27D_Sok,90,130
M27G_Sok,90,132
M28D_Sok,80,128
M28G_Sok,80,135
M29D_Sok,80,127
M29G_Sok,80,135
M30D_Sok,60,130
M30G_Sok,60,135
M31G_Sok,100,140
