ID,wing,spot
M01D_Wat,80,145
M01G_Wat,80,160
M02D_Wat,80,155
M02G_Wat,70,155
M03G_Wat,75,145
M04D_Wat,75,130
M05D_Wat,75,145
M05G_Wat,75,-
M06D_Wat,80,145
M06G_Wat,80,145
M08D_Wat,70,140
M09D_Wat,85,135
M09G_Wat,75,150
M10D_Wat,75,150
M11D_Wat,75,150
M14D_Wat,75,140
M14G_Wat,75,140
M18D_Wat,65,160
M18G_Wat,65,175
M19D_Wat,65,130
M19G_Wat,80,140
M20D_Wat,85,140
M20G_Wat,85,145
M21G_Wat,85,142
M22D_Wat,85,145
M22G_Wat,85,160
M23D_Wat,60,140
M23G_Wat,65,140
M24D_Wat,65,160
M25D_Wat,50,150
M27D_Wat,80,150
M27G_Wat,80,150
M28D_Wat,80,150
M28G_Wat,85,150
M29D_Wat,75,150
M29G_Wat,82,150
M31D_Wat,70,135
M31G_Wat,78,145
