ID,wing,spot
L04G_16,95,145
L06D_16,90,130
L09D_16,95,113
L37G_16,95,130
L02G_22,75,128
L04D_22,80,115
L07G_22,70,130
L13G_22,60,125
L17G_22,85,123
L31G_22,80,140
L07G_28,50,150
L13G_28,50,150
L17G_28,50,140
L21G_28,50,138
L26D_28,70,140
L36D_28,60,130
S28G_16,90,135
S29D_16,80,125
S33G_16,90,135
S36G_16,90,132
S40G_16,90,135
S42G_16,95,122
S08D_22,76,108
S14D_22,70,145
S14G_22,70,145
S20D_22,75,100
S33G_22,75,145
S35D_22,75,118
S40D_22,75,103
S44D_22,85,120
S06D_28,75,135
S14D_28,50,130
S20G_28,50,140
S37G_28,50,150
S42G_28,60,143
S44D_28,60,135
So06D_16,100,115
So13G_16,105,115
So23G_16,90,120
So24G_16,110,130
So27D_16,105,108
So29D_16,100,120
So06G_22,80,140
So08G_22,75,125
So13G_22,60,125
So13D_22,60,103
So24D_22,70,118
So24G_22,70,125
So38G_22,70,125
So43G_22,83,135
So05G_28,57,130
So08D_28,60,140
So11D_28,60,130
So21D_28,60,123
So27G_28,60,140
So37G_28,60,128
L04D_16,98,120
L06G_16,98,135
L09G_16,98,130
L13D_16,115,125
L13G_16,100,125
L37D_16,100,125
L02D_22,80,115
L04G_22,80,130
L07D_22,80,125
L13D_22,70,120
L17D_22,85,115
L31D_22,80,125
L07D_28,60,130
L13D_28,70,140
L17D_28,60,140
L21D_28,50,140
L26G_28,60,160
L36G_28,60,140
S28D_16,89,130
S29G_16,90,138
S33D_16,90,130
S36D_16,90,125
S40D_16,90,130
S42D_16,105,115
S08G_22,80,128
S20G_22,70,115
S28D_22,82,115
S33D_22,80,105
S35G_22,80,130
S40D_22,75,103
S44G_22,75,140
S06G_28,60,140
S14G_28,60,130
S20D_28,60,135
S37D_28,50,140
S42D_28,60,135
S44G_28,60,140
So06G_16,100,130
So13D_16,110,100
So23D_16,90,110
So24D_16,110,110
So27G_16,100,115
So29G_16,100,130
So06D_22,80,115
So08D_22,75,100
So13G_22,65,120
So26D_22,65,130
So38D_22,70,115
So43D_22,83,125
So05D_28,55,125
So08G_28,60,150
So11G_28,60,135
So21G_28,60,150
So27D_28,60,130
So37D_28,60,120
L11D_16,100,115
L11G_16,100,135
L14D_16,100,120
L14G_16,105,130
L05D_28,60,125
L05G_28,60,-
L08D_28,50,140
L08G_28,50,155
L09D_28,50,137
L09G_28,60,140
L11D_28,60,116
L11G_28,60,124
L14D_28,60,124
L14G_28,60,150
L28D_28,50,130
L28G_28,50,150
L31D_28,50,150
L31G_28,60,150
L37D_28,60,130
L37G_28,50,160
L01D_22,70,112
L01G_22,70,120
L06D_22,80,120
L06G_22,80,125
L14D_22,75,120
L14G_22,75,125
L26D_22,75,120
L26G_22,75,125
L35D_22,75,123
L35G_22,75,140
L36D_22,65,108
L36G_22,65,114
L37D_22,85,110
L37G_22,80,150
S05D_16,107,120
S05G_16,100,130
S07D_16,100,117
S07G_16,95,130
S20D_16,95,130
S20G_16,95,140
S24D_16,95,125
S24G_16,95,135
S35D_16,95,135
S35G_16,100,150
S37D_16,90,145
S37G_16,90,150
S44D_16,90,120
S44G_16,100,130
S05D_22,80,100
S05G_22,80,118
S17D_22,70,120
S17G_22,70,125
S24D_22,70,110
S24G_22,80,150
S29D_22,80,107
S29G_22,80,116
S36D_22,85,120
S36G_22,85,130
S40G_22,70,118
S42D_22,83,110
S42G_22,80,120
S05D_28,60,130
S05G_28,60,140
S08D_28,50,132
S08G_28,55,150
S17D_28,50,120
S17G_28,50,130
S24D_28,60,135
S24G_28,60,140
S28D_28,60,140
S28G_28,60,150
S29D_28,60,109
S29G_28,60,116
S35D_28,50,150
S35G_28,50,150
S36D_28,70,132
S36G_28,60,135
S40D_28,60,140
S40G_28,60,150
So13D_28,50,150
So13G_28,50,145
So17D_28,50,135
So17G_28,55,140
So23D_28,50,150
So23G_28,55,150
So24D_28,50,150
So24G_28,55,160
So28D_28,55,132
So28G_28,55,140
So29D_28,55,130
So29G_28,55,135
So38D_28,50,150
So38G_28,55,155
So42D_28,50,155
So42G_28,50,150
So43D_28,50,128
So43G_28,50,150
So01D_22,55,100
So01G_22,60,115
So05D_22,60,108
So05G_22,60,112
So07D_22,60,115
So07G_22,60,135
So23D_22,70,120
So23G_22,75,130
So29D_22,75,120
So29G_22,75,125
So05D_16,105,125
So05G_16,110,140
So07D_16,90,120
So07G_16,100,130
So28D_16,110,110
So28G_16,100,120
So31D_16,110,110
So31G_16,110,124
So42D_16,100,120
So42G_16,105,130
