ID,wing,spot
L04D_16,99,120
L04G_16,90,145
L06D_16,90,130
L06G_16,97,135
L07G_16,105,130
L09D_16,90,115
L09G_16,90,123
L11D_16,95,115
L11G_16,90,130
L13D_16,115,120
L13G_16,95,129
L14D_16,105,120
L14G_16,105,130
L37D_16,100,125
L37G_16,90,11
L05D_28,55,125
L05G_28,60,-
L07G_28,55,150
L07D_28,55,140
L08D_28,50,140
L08G_28,50,155
L09D_28,50,137
L09G_28,60,140
L09G_28_bis,60,140
L11D_28,55,115
L11G_28,60,123
L13D_28,70,140
L13G_28,50,150
L14D_28,60,124
L14G_28,60,150
L17D_28,60,140
L17G_28,50,140
L21D_28,50,140
L21G_28,45,139
L26D_28,60,140
L26G_28,55,165
L28D_28,50,130
L28G_28,50,137
L31D_28,50,145
L31G_28,60,145
L35G_28,50,140
L36D_28,60,130
L36G_28,60,140
L37D_28,55,130
L37G_28,55,160
L01D_22,60,123
L01G_22,70,119
L02D_22,75,115
L02G_22,75,128
L04D_22,80,115
L04G_22,80,130
L05D_22,80,115
L06D_22,80,120
L06G_22,80,127
L07D_22,80,125
L07G_22,70,130
L08D_22,70,115
L12D_22,80,115
L13D_22,60,120
L13G_22,60,120
L14D_22,75,120
L14G_22,70,125
L17D_22,83,115
L17G_22,85,122
L26D_22,70,120
L26G_22,70,125
L31D_22,80,125
L31G_22,80,140
L35D_22,75,120
L35G_22,75,140
L36D_22,65,108
L36G_22,65,114
L37D_22,85,115
L37G_22,85,145
S05D_16,110,120
S05G_16,100,130
S07D_16,100,117
S07G_16,95,130
S20D_16,90,130
S20G_16,95,140
S24D_16,95,125
S24G_16,95,135
S28D_16,90,130
S28G_16,90,135
S29D_16,90,125
S29G_16,90,138
S33D_16,90,130
S33G_16,90,135
S35D_16,100,135
S35G_16,100,150
S36D_16,95,125
S36G_16,90,132
S37D_16,90,145
S37G_16,90,150
S40D_16,100,135
S40G_16,90,135
S41G_16,100,140
S42D_16,105,115
S42G_16,105,122
S44D_16,100,115
S44G_16,95,130
S05D_22,75,100
S05G_22,80,118
S07D_22,70,120
S08D_22,76,107
S08G_22,80,128
S17D_22,70,120
S17G_22,70,125
S20D_22,70,100
S20G_22,70,115
S24D_22,70,110
S24G_22,80,150
S28D_22,83,120
S29D_22,80,105
S29G_22,80,115
S33D_22,80,105
S33G_22,80,145
S35D_22,70,115
S35G_22,70,130
S36D_22,85,120
S36G_22,85,130
S40D_22,75,100
S40G_22,75,118
S42D_22,83,110
S42G_22,80,120
S44D_22,85,120
S44G_22,75,140
S05D_28,60,130
S05G_28,60,140
S06D_28,75,130
S06G_28,60,140
S08D_28,50,130
S08G_28,55,150
S14D_28,55,130
S14G_28,60,130
S17D_28,50,120
S17G_28,50,130
S20D_28,60,135
S20G_28,60,140
S24D_28,60,130
S24G_28,60,135
S28D_28,60,140
S28G_28,60,150
S29D_28,60,108
S29G_28,60,116
S33D_28,60,140
S33G_28,60,145
S35D_28,60,150
S35G_28,50,150
S36D_28,65,130
S36G_28,60,135
S37D_28,55,140
S37G_28,50,150
S40D_28,58,135
S40G_28,58,140
S42D_28,60,135
S42G_28,60,144
S44D_28,60,135
S44G_28,70,140
So05D_16,105,120
So05G_16,110,140
So06D_16,100,114
So06G_16,100,130
So07D_16,90,120
So07G_16,90,130
So13D_16,110,107
So13G_16,105,115
So17D_16,105,115
So23D_16,95,110
So23G_16,90,120
So24D_16,110,120
So24G_16,108,130
So27D_16,110,10
So27G_16,100,118
So28D_16,110,112
So28G_16,100,120
So29D_16,100,120
So29G_16,100,130
So31D_16,112,110
So31G_16,110,123
So42D_16,100,120
So42G_16,105,130
So05D_28,55,128
So05G_28,56,130
So06D_28,60,130
So08D_28,60,140
So08G_28,60,150
So11D_28,60,130
So11G_28,60,135
So13D_28,50,150
So13G_28,57,145
So17D_28,50,135
So17G_28,55,140
So21D_28,50,123
So21G_28,58,150
So23D_28,50,150
So23G_28,58,150
So24D_28,50,150
So24G_28,55,160
So26D_28,60,140
So27D_28,55,130
So27G_28,60,145
So28D_28,55,132
So28G_28,58,140
So29D_28,55,130
So29G_28,55,137
So37D_28,60,120
So37G_28,60,128
So38D_28,55,145
So38G_28,55,155
So42D_28,50,150
So42G_28,55,150
So43D_28,50,129
So43G_28,50,125
So01D_22,65,100
So01G_22,70,115
So05D_22,60,108
So05G_22,60,110
So06D_22,75,115
So06G_22,80,140
So07D_22,60,112
So07G_22,65,135
So08D_22,75,101
So08G_22,75,125
So13D_22,60,103
So13G_22,70,125
So17G_22,75,125
So23D_22,75,120
So23G_22,75,130
So24D_22,60,115
So24G_22,75,125
So26D_22,77,135
So27G_22,77,135
So29D_22,80,120
So29G_22,75,127
So38D_22,70,115
So38G_22,70,125
So42D_22,80,129
So42G_22,75,135
So43D_22,85,120
So43G_22,87,140
